Kraina Zabawek,Sklep-Klocki,Smyk
34.9,76.0,37.49
35.9,1389.0,37.49
39.0,115.0,38.49
39.0,155.0,73.99
69.9,569.0,73.99
69.9,579.0,73.99
69.9,812.0,117.99
69.9,1699.0,150.99
74.8,399.0,150.99
74.9,40.0,184.99
135.55,40.0,184.99
135.55,76.0,192.99
138.0,187.0,226.0
175.0,499.0,299.0
179.0,670.0,399.0
